ID,Reference,Binomial,Genus,Species,Replicate,Specific_location,Location,Taxonomic_group,Latitude,Longitude,System,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022
853," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_nerka,Oncorhynchus,nerka,0,1,"Horsefly River, BC",Fish,52.28,-121.23,Freshwater,892,106,69,139581,2613,105,205,247385,3782,268,254,363723,18607,1374,578,606366,84557,10709,4681,837498,241056,21529,3046,1471594,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
854," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_nerka,Oncorhynchus,nerka,0,1,"Late Stuart Complex, BC",Fish,53.59,-123.32,Freshwater,8179,779,3411,121203,7537,7174,1722,77344,7115,16711,490,130641,8681,1451,672,164581,16116,2912,3661,329269,111915,40273,12415,1184283,39124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
855," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_nerka,Oncorhynchus,nerka,0,1,"Pinkut Creek, British Columbia",Fish,54.27,-125.27,Freshwater,8257,7878,15828,34623,42542,52107,49192,20201,4248,62334,15000,116294,47199,25195,65415,70022,51176,108405,70385,37320,41725,58173,72546,89450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
856," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_nerka,Oncorhynchus,nerka,0,1,"Rivers Inlet, BC",Fish,51.28,-127.25,Freshwater,0.1,0.21,0.22,0.98,0.55,0.48,0.3,0.19,0.38,0.3,0.31,0.75,0.82,0.64,0.21,0.5,0.83,0.52,0.5,0.38,0.59,0.35,0.34,0.31,0.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
857," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_nerka,Oncorhynchus,nerka,0,1,"Smith Inlet, BC",Fish,51.19,-127.25,Freshwater,70,135,76,170,91,63,61,129,84,20,129,214,214,200,89,250,199,200,207,167,149,260,220,220,100,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
858," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_nerka,Oncorhynchus,nerka,0,1,"Stellako River, BC",Fish,54.03,-124.53,Freshwater,29197,20727,20717,15960,24469,107560,74576,12339,33400,164138,39143,12495,38474,66772,33363,23035,45943,112655,221128,17721,56877,54679,55501,42859,63584,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
859," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_nerka,Oncorhynchus,nerka,0,1,"Weaver Creek, BC",Fish,49.19,-121.53,Freshwater,5252,2696,15214,25728,37026,17186,29407,31701,43015,26256,44528,23370,136328,28413,31598,23413,50269,31962,28584,10868,8658,18317,25194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
877," Myers, R. Ransom Myers' Stock Recruitment Database.",Perca_flavescens,Perca,flavescens,0,1,"South Bay, Lake Huron",Fish,45.625,-81.87611,Freshwater,0.784,0.167,3.896,7,0.833,0.33,1.547,4.752,5.027,1.198,1.8,2.558,2.523,0.453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
880," Myers, R. Ransom Myers' Stock Recruitment Database.",Salmo_salar,Salmo,salar,0,1,"Tobique River, New Brunswick",Fish,47,-67.5,Freshwater,66.26,122.05,82.47,80.22,391.21,348.93,267.2,287.02,173.4,248.15,229.42,181.65,99.63,248.32,362.09,274.19,208.86,205.6,154.5,NULL,NULL,189.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
888," Myers, R. Ransom Myers' Stock Recruitment Database.",Sander_vitreus,Sander,vitreus,0,1,Namakan River,Fish,48.44972,-92.45028,Freshwater,1.7588,1.5267,1.3201,1.1231,0.9724,0.9006,0.8529,0.9912,1.0764,0.8677,0.8745,0.9548,0.9718,0.9172,0.8571,0.8521,0.8289,0.7512,0.7064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
889," Myers, R. Ransom Myers' Stock Recruitment Database.",Sander_vitreus,Sander,vitreus,0,1,Rainy Lake,Fish,48.7,-93.16667,Freshwater,0.6911,0.6501,0.5707,0.5433,0.7414,0.7535,0.7599,0.6846,0.7283,0.9375,0.9427,0.8639,0.8148,0.842,0.7677,0.6985,0.6062,0.5931,0.4748,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
890," Myers, R. Ransom Myers' Stock Recruitment Database.",Sander_vitreus,Sander,vitreus,0,1,"Savanne Lake, Ontario",Fish,48.49,-90.06,Freshwater,153.4,312.2,367.3,361.4,352.5,388,361.7,321.4,224.8,214.8,181.2,159.5,148.4,152.7,157.1,175.9,199.2,235,242.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
892," Myers, R. Ransom Myers' Stock Recruitment Database.",Sander_vitreus,Sander,vitreus,0,1,Scugog Lake,Fish,44.1,-78.51,Freshwater,NULL,NULL,NULL,NULL,0.0111,0.0107,0.0123,0.0127,0.0139,0.0153,0.0168,0.0207,0.0298,0.0359,0.0369,0.0387,0.0393,0.0391,0.0374,0.032,0.0273,0.0321,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
893," Myers, R. Ransom Myers' Stock Recruitment Database.",Sander_vitreus,Sander,vitreus,0,1,"Woods Lake, Ontario",Fish,45.26889,-79.60417,Freshwater,NULL,NULL,NULL,NULL,0.45,0.44,0.42,0.43,0.47,0.5,0.52,0.53,0.7,0.84,0.83,0.77,0.75,0.7,0.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
894," Myers, R. Ransom Myers' Stock Recruitment Database.",Sander_vitreus,Sander,vitreus,0,1,"Lake Balsam, Ontario",Fish,44.35,-78.5,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.07,0.0679,0.0625,0.0598,0.0698,0.087,0.1067,0.1294,0.1523,0.1711,0.1736,0.1816,0.1955,0.206,0.2104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
895," Myers, R. Ransom Myers' Stock Recruitment Database.",Sander_vitreus,Sander,vitreus,0,1,"Buckthorn Lake, Ontario",Fish,44.29,-78.23,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.6097,9.6005,9.9026,9.7921,9.8286,9.7075,10.0341,10.2713,10.5751,10.6233,10.5111,11.0396,11.0564,11.2071,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
900," Myers, R. Ransom Myers' Stock Recruitment Database.",Sander_vitreus,Sander,vitreus,0,1,"Nipissing Lake, Ontario",Fish,46.17,-80,Freshwater,NULL,0.4418,0.4496,0.4538,0.4641,0.4995,0.569,0.639,0.6839,0.6719,0.6193,0.588,0.5301,0.5109,0.5006,0.5166,0.5395,0.5413,0.5099,0.4888,0.5003,0.5634,0.5805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
901," Myers, R. Ransom Myers' Stock Recruitment Database.",Sander_vitreus,Sander,vitreus,0,1,"Rice lake, Ontario",Fish,49.11667,-92.38361,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,4.45,4.48,4.4,4.34,4.64,5.06,5.23,5.69,6.11,6.29,6.14,5.73,5.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
906," Clay, D. (1997). The effects of temperature and acidity on spawning of the spotted salamander, Ambystoma maculatum, in Fundy National Park. Amphibians in Decline: Canadian Studies of a Global Problem. D. M. Green. St. Louis, MO. , Society for the study of amphibians and reptiles: Pp. 226-232 ",Ambystoma_maculatum,Ambystoma,maculatum,0,1,"Forks Pond, Fundy National Park, New Brunswick",Herps,45.612,-65.038,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,12,30,20,3,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
907," Clay, D. (1997). The effects of temperature and acidity on spawning of the spotted salamander, Ambystoma maculatum, in Fundy National Park. Amphibians in Decline: Canadian Studies of a Global Problem. D. M. Green. St. Louis, MO. , Society for the study of amphibians and reptiles: Pp. 226-232 ",Ambystoma_maculatum,Ambystoma,maculatum,0,1,"Coyote Pond, Fundy Nat Park, Canada",Herps,45.612,-65.038,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,232,297,238,625,520,680,653,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
908," Clay, D. (1997). The effects of temperature and acidity on spawning of the spotted salamander, Ambystoma maculatum, in Fundy National Park. Amphibians in Decline: Canadian Studies of a Global Problem. D. M. Green. St. Louis, MO. , Society for the study of amphibians and reptiles: Pp. 226-232 ",Ambystoma_maculatum,Ambystoma,maculatum,0,1,"Tippen Lot Pond, Fundy National Park, Canada",Herps,45.612,-65.038,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,406,336,438,1065,850,234,380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
951," Bertram, S. and M. Berrill (1997). Fluctuations in a northern population of gray treefrogs, Hyla versicolor. Amphibians in Decline: Canadian Studies of a Global Problem. D. M. Green. St. Louis, MO. , Society for the study of amphibians and reptiles: Pp. 57-63.",Hyla_versicolor,Hyla,versicolor,0,1,"Trent University, Ontario, Canada",Herps,44.3525,-78.29722,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,36,19,77,30,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
969," Hecnar, S. J. and R. T. McLoskey (1997). Changes in the composition of a ranid frog community following bullfrog extinction."" American Midland Naturalist 137(1): 145-150.| USGS",Lithobates_clamitans,Lithobates,clamitans,0,1,"Point Pelee National Park, Ontario",Herps,41.96694,-82.53278,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,297,273,425,151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
970," Shirose, L. J. and R. J. Brooks (1997). Fluctuations in abundance and age structure in three species of frogs (Anura: Ranidae) in Algonquin Park, Canada, from 1985 to 1993. Amphibians in Decline: Canadian Studies of a Global Problem. D. M. Green. St. Louis, MO. , Society for the study of amphibians and reptiles: Pp. 16-26.| USGS, P. W. R. C. Managers' Monitoring Manual - Amphibian Count CV tool, U.S. Department of the Interior.",Lithobates_clamitans,Lithobates,clamitans,0,1,"Area#1 Lake Sasajewun, Algonquin Provincial Park, Ontario, Canada",Herps,45.58333,-78.5,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,6,4,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
971," Shirose, L. J. and R. J. Brooks (1997). Fluctuations in abundance and age structure in three species of frogs (Anura: Ranidae) in Algonquin Park, Canada, from 1985 to 1993. Amphibians in Decline: Canadian Studies of a Global Problem. D. M. Green. St. Louis, MO. , Society for the study of amphibians and reptiles: Pp. 16-26.| USGS, P. W. R. C. Managers' Monitoring Manual - Amphibian Count CV tool, U.S. Department of the Interior.",Lithobates_clamitans,Lithobates,clamitans,0,1,"Area#2 Lake Sasajewun, Algonquin Provincial Park, Ontario, Canada",Herps,45.58333,-78.5,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,14,7,24,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
974," Hecnar, S. J. and R. T. McLoskey (1997). Changes in the composition of a ranid frog community following bullfrog extinction."" American Midland Naturalist 137(1): 145-150.| USGS",Lithobates_pipiens,Lithobates,pipiens,0,1,"Point Pelee National Park, Ontario, Canada.",Herps,41.96694,-82.53278,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,72,169,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
976," Shirose, L. J. and R. J. Brooks (1997). Fluctuations in abundance and age structure in three species of frogs (Anura: Ranidae) in Algonquin Park, Canada, from 1985 to 1993. Amphibians in Decline: Canadian Studies of a Global Problem. D. M. Green. St. Louis, MO. , Society for the study of amphibians and reptiles: Pp. 16-26.| USGS, P. W. R. C. Managers' Monitoring Manual - Amphibian Count CV tool, U.S. Department of the Interior.",Lithobates_septentrionalis,Lithobates,septentrionalis,0,1,"Area#1 Lake Sasajewun, Algonquin Provincial Park, Ontario, Canada",Herps,45.58333,-78.5,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,20,42,NULL,NULL,NULL,NULL,5,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1395, DFO (2000). Southern Gulf of St. Lawrence herring. DFO Science Stock Status report B3-01(2000).,Brevoortia_tyrannus,Brevoortia,tyrannus,0,0,"Gulf of St Lawrence, Canada",Fish,48.33722,-61.71722,Marine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,100,90,200,200,320,470,300,320,450,300,200,200,700,400,150,380,150,500,450,750,1350,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1403," Myers, R. Ransom Myers' Stock Recruitment Database.",Brevoortia_tyrannus,Brevoortia,tyrannus,0,0,NAFO 4WX,Fish,42,-63.2,Marine,NULL,NULL,NULL,81166,84488,313795,233962,182343,111423,50768,51550,178085,132736,82912,79725,98731,123517,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1448, DFO (2003). Witch flounder (Divs. 4RST). DFO Sci. Stock Status Rep. 2003/005. | DFO (2012). Assessment of witch flounder (Glyptocephalus cynoglossus) in the Gulf of St. Lawrence (NAFO Div. 4RST). DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/017.,Glyptocephalus_cynoglossus,Glyptocephalus,cynoglossus,0,0,Gulf of St Lawrence (4R),Fish,49.68361,-58.74,Marine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1670,1646,959,1181,687,386,140,307,282,368,480,482,733,1177,572,464,1183,634,802,804,696,836,646,593,587,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1449, DFO (2003). Witch flounder (Divs. 4RST). DFO Sci. Stock Status Rep. 2003/005. | DFO (2012). Assessment of witch flounder (Glyptocephalus cynoglossus) in the Gulf of St. Lawrence (NAFO Div. 4RST). DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/017.,Glyptocephalus_cynoglossus,Glyptocephalus,cynoglossus,0,0,Gulf of St Lawrence (4S 4T west),Fish,48.82361,-62.86667,Marine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6416,7494,4738,8657,5018,4524,1160,1880,1717,1802,1335,1613,1478,3163,2338,961,3500,1213,1657,1494,1938,2464,1804,4289,1864,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
